#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_SHATTERED_WORLD1;Shattered World (867);Monde éclaté (867);;;;;;;;;;;;x
BM_SHATTERED_WORLD1_DESC;The starting position of the year 867 with all counties independent under new rule.;Tous les comtés commencent indépendants.;;;;;;;;;;;;x
BM_SHATTERED_WORLD2;Shattered World (1066);Monde éclaté (1066);;;;;;;;;;;;x
BM_SHATTERED_WORLD2_DESC;The starting position of the year 1066 with all counties independent under new rule.;Tous les comtés commencent indépendants.;;;;;;;;;;;;x
BM_REIGN_PRINCES1;Reign of Princes (867);Règne des Princes (867);;;;;;;;;;;;x
BM_REIGN_PRINCES1_DESC;The starting position of the year 867 with small warring states.;Le monde est divisé en petits États indépendants.;;;;;;;;;;;;x
BM_REIGN_PRINCES2;Reign of Princes (1066);Règne des Princes (1066);;;;;;;;;;;;x
BM_REIGN_PRINCES2_DESC;The starting position of the year 1066 with small warring states.;Le monde est divisé en petits États indépendants.;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
startup_event_desc;Do you want to enable an extra casus belli for a more hectic start? \n Note: it can also be toggled per decision;;;;;;;;;;;;;x
casusbelli_0;Enable extra casus belli;;;;;;;;;;;;;x
casusbelli_0_desc;This will enable an extra casus belli so counts (Shattered World) or dukes (Reign of Princes) can attack their neighbours.;;;;;;;;;;;;;
casusbelli_1;Disable extra casus belli;;;;;;;;;;;;;x
casusbelli_1_desc;This allows only existing expansionary methods and disables extra casus bellis.;;;;;;;;;;;;;
;;;;;;;;;;;;;;x
shattered_world_conquest_desc;Conquest;;;;;;;;;;;;;x
CB_NAME_ALT_SCEN;Conquest of [Title.GetName];;;;;;;;;;;;;x
WAR_NAME_ALT_SCEN;$ORDER$$FIRST_ADJ$ conquest of $OTHER_TITLE$;;;;;;;;;;;;;x
reign_of_princes_conquest;Conquest;;;;;;;;;;;;;x
CB_NAME_PRINCES;Conquest of [Title.GetName];;;;;;;;;;;;;x
WAR_NAME_PRINCES;$ORDER$$FIRST_ADJ$ conquest of $OTHER_TITLE$;;;;;;;;;;;;;x
